Position_of_the_photo-detector_(in_mm)	Intensity_(in_V)
0	0.024
0.2	0.028
0.4	0.03
0.6	0.028
0.8	0.029
1	0.026
1.2	0.029
1.4	0.024
1.6	0.027
1.8	0.034
2	0.039
2.2	0.038
2.4	0.038
2.6	0.042
2.8	0.054
3	0.065
3.2	0.058
3.4	0.06
3.6	0.07
3.8	0.082
4	0.083
4.2	0.078
4.4	0.081
4.6	0.089
4.8	0.085
5	0.083
5.2	0.088
5.4	0.082
5.6	0.078
5.8	0.07
6	0.069
6.2	0.066
6.4	0.063
6.6	0.053
6.8	0.047
7	0.048
7.2	0.046
7.4	0.044
7.6	0.045
7.8	0.055
8	0.06
8.2	0.064
8.4	0.062
8.6	0.073
8.8	0.095
9	0.104
9.2	0.105
9.4	0.102
9.6	0.108
9.8	0.125
10	0.126
10.2	0.122
10.4	0.124
10.6	0.126
10.8	0.124
11	0.123
11.2	0.12
11.4	0.113
11.6	0.109
11.8	0.105
12	0.101
12.2	0.09
12.4	0.095
12.6	0.1
12.8	0.12
13	0.137
13.2	0.13
13.4	0.131
13.6	0.16
13.8	0.22
14	0.23
14.2	0.24
14.4	0.27
14.6	0.31
14.8	0.38
15	0.4
15.2	0.46
15.4	0.394
15.6	0.44
15.8	0.47
16	0.47
16.2	0.46
16.4	0.45
16.6	0.42
16.8	0.37
17	0.35
17.2	0.34
17.4	0.29
17.6	0.22
17.8	0.15
18	0.13
18.2	0.12
18.4	0.1
18.6	0.1
18.8	0.14
19	0.18
19.2	0.19
19.4	0.3
19.6	0.6
19.8	0.8
20	1.1
20.2	1.2
20.4	1.3
20.6	1.9
20.8	3
21	3.2
21.2	4.5
21.4	5
21.6	4.6
21.8	4.5
22	5.7
22.2	6
22.4	6.2
22.6	6.7
22.8	7.25
23	8
23.2	8.4
23.4	9
23.6	9.5
23.8	10
24	10.2
24.2	10
24.4	9.6
24.6	9.5
24.8	9
25	8.8
25.2	8.9
25.4	8.6
25.6	8.3
25.8	7.15
26	6.8
26.2	6.1
26.4	5.6
26.6	5.3
26.8	4.2
27	3.8
27.2	3.6
27.4	3.2
27.6	2.4
27.8	1.79
28	1.49
28.2	1.3
28.4	1.2
28.6	1
28.8	0.5
29	0.5
29.2	0.4
29.4	0.3
29.6	0.16
29.8	0.04
30	0.03
30.2	0.02
30.4	0.025
30.6	0.056
30.8	0.09
31	0.1
31.2	0.12
31.4	0.14
31.6	0.22
31.8	0.254
32	0.28
32.2	0.29
32.4	0.3
32.6	0.29
32.8	0.27
33	0.27
33.2	0.25
33.4	0.2
33.6	0.17
33.8	0.15
34	0.14
34.2	0.13
34.4	0.112
34.6	0.101
34.8	0.063
35	0.045
