Position_of_the_photo-detector_(in_mm)	Intensity_(in_mV)
0	21
0.2	146
0.4	28
0.6	82
0.8	29
1	17
1.2	17.6
1.4	40
1.6	66
1.8	110
2	130
2.2	132
2.4	139
2.6	115
2.8	70
3	60
3.2	56
3.4	50
3.6	80
3.8	156
4	177
4.2	180
4.4	200
4.6	185
4.8	90
5	89
5.2	89
5.4	102
5.6	200
5.8	550
6	700
6.2	600
6.4	715
6.6	640
6.8	240
7	270
7.2	250
7.4	100
7.6	250
7.8	750
8	1000
8.2	1020
8.4	1500
8.6	200
8.8	370
9	1000
9.2	1256
9.4	750
9.6	300
9.8	2000
10	1300
10.2	860
10.4	1700
10.6	2680
10.8	1400
11	1700
11.2	2400
11.4	1450
11.6	700
11.8	1000
12	800
12.2	400
12.4	1200
12.6	2700
12.8	2940
13	2700
13.2	3000
13.4	2870
13.6	1140
13.8	500
14	560
14.2	660
14.4	840
14.6	1830
14.8	2600
15	2730
15.2	2400
15.4	2800
15.6	1800
15.8	700
16	1200
16.2	1600
16.4	740
16.6	950
16.8	1000
17	1350
17.2	1340
17.4	2000
17.6	2200
17.8	2000
18	1080
18.2	2000
18.4	1050
18.6	600
18.8	600
19	600
19.2	1020
19.4	1000
19.6	800
19.8	750
20	1200
20.2	1200
20.4	1000
20.6	350
20.8	370
21	432
21.2	340
21.4	360
21.6	380
21.8	360
22	360
22.2	300
22.4	250
22.6	200
22.8	230
23	200
23.2	192
23.4	175
23.6	148
23.8	79
24	120
24.2	140
24.4	100
24.6	80
24.8	55
25	39
25.2	35
25.4	49
25.6	113
25.8	120
26	111
26.2	115
26.4	133
26.6	118
26.8	53
27	80
27.2	97
27.4	43
27.6	29
27.8	125
28	68
