a	b	av	Current I (in A)	Tan
1	0	0.5	0	0.009
0	1	0.5	0.1	0.009
7	8	7.5	0.2	0.132
19	20	19.5	0.3	0.354
25	26	25.5	0.4	0.477
29	30	29.5	0.5	0.566
31	32	31.5	0.6	0.613
33	34	33.5	0.7	0.662
34	35	34.5	0.8	0.687
36	37	36.5	0.9	0.740
37	38	37.5	1	0.767
37	38	37.5	1.1	0.767
37	38	37.5	1.2	0.767
38	39	38.5	1.3	0.795
38	39	38.5	1.4	0.795
39	40	39.5	1.5	0.824
39	40	39.5	1.6	0.824
40	41	40.5	1.7	0.854
41	42	41.5	1.7	0.885
41	42	41.5	1.6	0.885
41	42	41.5	1.5	0.885
41	42	41.5	1.4	0.885
41	42	41.5	1.3	0.885
41	42	41.5	1.2	0.885
41	42	41.5	1.1	0.885
41	42	41.5	1	0.885
41	42	41.5	0.9	0.885
41	42	41.5	0.8	0.885
41	42	41.5	0.7	0.885
41	42	41.5	0.6	0.885
40	41	40.5	0.5	0.854
40	41	40.5	0.4	0.854
40	41	40.5	0.3	0.854
38	39	38.5	0.2	0.795
38	39	38.5	0.1	0.795
35	36	35.5	0	0.713
22	23	22.5	-0.1	0.414
2	3	2.5	-0.2	0.044
-22	-21	-21.5	-0.3	-0.394
-27	-26	-26.5	-0.4	-0.499
-32	-31	-31.5	-0.5	-0.613
-35	-34	-34.5	-0.6	-0.687
-38	-37	-37.5	-0.7	-0.767
-40	-39	-39.5	-0.8	-0.824
-41	-40	-40.5	-0.9	-0.854
-42	-41	-41.5	-1	-0.885
-43	-42	-42.5	-1.1	-0.916
-43	-42	-42.5	-1.2	-0.916
-44	-43	-43.5	-1.3	-0.949
-44	-43	-43.5	-1.4	-0.949
-45	-44	-44.5	-1.5	-0.983
-46	-45	-45.5	-1.6	-1.018
-46	-45	-45.5	-1.5	-1.018
-46	-45	-45.5	-1.4	-1.018
-46	-45	-45.5	-1.3	-1.018
-46	-45	-45.5	-1.2	-1.018
-46	-45	-45.5	-1.1	-1.018
-46	-45	-45.5	-1	-1.018
-46	-45	-45.5	-0.9	-1.018
-46	-45	-45.5	-0.8	-1.018
-46	-45	-45.5	-0.7	-1.018
-46	-45	-45.5	-0.6	-1.018
-46	-45	-45.5	-0.5	-1.018
-46	-45	-45.5	-0.4	-1.018
-46	-45	-45.5	-0.3	-1.018
-44	-43	-43.5	-0.2	-0.949
-43	-42	-42.5	-0.1	-0.916
-39	-38	-38.5	0	-0.795
-28	-27	-27.5	0.1	-0.521
-4	-3	-3.5	0.2	-0.061
15	16	15.5	0.3	0.277
17	18	17.5	0.4	0.315
29	30	29.5	0.5	0.566
32	33	32.5	0.6	0.637
34	35	34.5	0.7	0.687
35	36	35.5	0.8	0.713
36	37	36.5	0.9	0.740
37	38	37.5	1	0.767
38	39	38.5	1.1	0.795
38	39	38.5	1.2	0.795
38	39	38.5	1.3	0.795
39	40	39.5	1.4	0.824
40	41	40.5	1.5	0.854
40	41	40.5	1.6	0.854
40	41	40.5	1.7	0.854
41	42	41.5	1.8	0.885
41	42	41.5	1.9	0.885
