position(cm)	relative positioin(cm)	B(in mT)
55	-18.5	0.22
54	-17.5	0.25
53	-16.5	0.28
52	-15.5	0.29
51	-14.5	0.27
50	-13.5	0.25
49	-12.5	0.26
48	-11.5	0.25
47	-10.5	0.23
46	-9.5	0.2
45	-8.5	0.2
44	-7.5	0.18
43	-6.5	0.18
42	-5.5	0.17
41	-4.5	0.18
40	-3.5	0.18
39	-2.5	0.18
38	-1.5	0.18
37	-0.5	0.18
36	0.5	0.18
35	1.5	0.18
34	2.5	0.18
33	3.5	0.2
32	4.5	0.2
31	5.5	0.2
30	6.5	0.2
29	7.5	0.22
28	8.5	0.22
27	9.5	0.23
26	10.5	0.26
25	11.5	0.26
24	12.5	0.25
23	13.5	0.23
22	14.5	0.23
21	15.5	0.22
20	16.5	0.21
19	17.5	0.19
